step,loss,l1_loss,kld_loss
100,5.121031761169434,0.287249356508255,0.48337823152542114
200,3.240572929382324,0.25460806488990784,0.29859647154808044
300,3.2269835472106934,0.43030962347984314,0.2796674072742462
400,3.066466808319092,0.3368344008922577,0.2729632258415222
500,2.655191659927368,0.46304669976234436,0.21921448409557343
600,2.8704710006713867,0.4306149184703827,0.2439855933189392
700,2.1669511795043945,0.30079901218414307,0.1866152137517929
800,2.133444309234619,0.279458612203598,0.18539857864379883
900,2.4086341857910156,0.35328567028045654,0.20553484559059143
1000,2.245985507965088,0.34495583176612854,0.1901029646396637
1100,2.103776693344116,0.38945189118385315,0.1714324802160263
1200,2.007009744644165,0.3141958713531494,0.16928139328956604
1300,2.0996994972229004,0.3966214060783386,0.17030780017375946
1400,2.108621597290039,0.4863142669200897,0.1622307300567627
1500,1.7030397653579712,0.19980724155902863,0.15032324194908142
1600,1.8228198289871216,0.46079596877098083,0.1362023800611496
1700,1.763277530670166,0.449346125125885,0.13139314949512482
1800,1.7032911777496338,0.3807887136936188,0.13225024938583374
1900,1.6738135814666748,0.3674359917640686,0.1306377500295639
2000,1.7505805492401123,0.381395161151886,0.1369185447692871
2100,1.3783659934997559,0.41418027877807617,0.09641857445240021
2200,1.689645528793335,0.42784354090690613,0.12618020176887512
2300,1.5272793769836426,0.35035115480422974,0.11769281327724457
2400,1.4378397464752197,0.33013466000556946,0.11077050864696503
2500,1.5654476881027222,0.6714324951171875,0.08940152078866959
2600,1.224866509437561,0.28407523036003113,0.09407912194728851
2700,1.4226903915405273,0.35219717025756836,0.10704931616783142
2800,1.1491626501083374,0.1708214282989502,0.09783412516117096
2900,1.1523998975753784,0.28341540694236755,0.08689844608306885
3000,1.1707937717437744,0.36440619826316833,0.08063875138759613
3100,1.3012030124664307,0.3033820688724518,0.09978209435939789
3200,1.1118136644363403,0.22810590267181396,0.08837077766656876
3300,1.2274765968322754,0.46139124035835266,0.07660853117704391
3400,1.0721441507339478,0.2983875274658203,0.07737566530704498
3500,1.0139187574386597,0.2579728066921234,0.07559459656476974
3600,0.9524890184402466,0.2619146406650543,0.06905743479728699
3700,0.8656164407730103,0.28206995129585266,0.05835464969277382
3800,1.0411018133163452,0.3723126947879791,0.06687890738248825
3900,1.2312140464782715,0.6688137054443359,0.05624004080891609
4000,0.8483095765113831,0.26540231704711914,0.05829072743654251
