step,b_l1,abc_l1
20000,0.2010156810283661,0.18152576684951782
40000,0.19981545209884644,0.18005166947841644
60000,0.20092247426509857,0.1858261078596115
80000,0.20049802958965302,0.1855177879333496
100000,0.20450736582279205,0.1882304698228836
