model,action_dim,l1
b,dx,0.18119260668754578
b,dy,0.1330031454563141
b,dz,0.15365558862686157
b,droll,0.11589423567056656
b,dpitch,0.12932069599628448
b,dyaw,0.2394298017024994
b,gripper,0.47905564308166504
abc,dx,0.16659601032733917
abc,dy,0.12189880013465881
abc,dz,0.14320430159568787
abc,droll,0.11526572704315186
abc,dpitch,0.1263638436794281
abc,dyaw,0.23177456855773926
abc,gripper,0.41250959038734436
