step,loss,l1_loss,kld_loss
100,4.549782752990723,0.49252572655677795,0.40572571754455566
200,3.338862180709839,0.40333303809165955,0.2935529351234436
300,3.2433035373687744,0.4790380001068115,0.2764265537261963
400,2.880568742752075,0.35324007272720337,0.25273287296295166
500,2.8363571166992188,0.5292454361915588,0.2307111769914627
600,2.850844621658325,0.5217387080192566,0.23291058838367462
700,2.416172981262207,0.35717570781707764,0.20589971542358398
800,2.334636688232422,0.45400887727737427,0.18806277215480804
900,2.346403121948242,0.5906310677528381,0.17557720839977264
1000,2.2919163703918457,0.2833162844181061,0.20086000859737396
1100,2.097106695175171,0.33218565583229065,0.1764920949935913
1200,2.0091745853424072,0.3326992392539978,0.16764754056930542
1300,1.8160839080810547,0.20272831618785858,0.1613355576992035
1400,2.146604537963867,0.4343857169151306,0.17122188210487366
1500,1.8847846984863281,0.38019636273384094,0.15045884251594543
1600,1.7743438482284546,0.362311452627182,0.14120323956012726
1700,1.6895415782928467,0.31006693840026855,0.1379474699497223
1800,1.6411571502685547,0.28306177258491516,0.1358095407485962
1900,1.8171796798706055,0.3199564814567566,0.14972230792045593
2000,1.6748509407043457,0.4856276214122772,0.11892232298851013
2100,1.2662734985351562,0.21310868859291077,0.10531648248434067
2200,1.4980823993682861,0.2382994294166565,0.12597830593585968
2300,1.582622766494751,0.3980957865715027,0.11845269799232483
2400,1.5384671688079834,0.3831371068954468,0.1155330091714859
2500,1.2691816091537476,0.4230963885784149,0.0846085250377655
2600,1.4755358695983887,0.5277112722396851,0.09478246420621872
2700,1.4490100145339966,0.3655172288417816,0.1083492785692215
2800,1.3937370777130127,0.4505419135093689,0.09431950747966766
2900,1.2856528759002686,0.41863927245140076,0.08670136332511902
3000,1.1774173974990845,0.3584047257900238,0.08190126717090607
3100,1.1882685422897339,0.3012615144252777,0.08870070427656174
3200,1.258486270904541,0.31673288345336914,0.09417533129453659
3300,1.2501847743988037,0.34304922819137573,0.09071354568004608
3400,1.1011297702789307,0.3507568836212158,0.07503728568553925
3500,1.070212483406067,0.3107879161834717,0.07594245672225952
3600,1.191648244857788,0.4618268609046936,0.07298214733600616
3700,1.0402183532714844,0.43991684913635254,0.06003015115857124
3800,0.9567972421646118,0.3565916121006012,0.0600205659866333
3900,1.0262385606765747,0.43351903557777405,0.059271957725286484
4000,0.915306568145752,0.3400461971759796,0.05752604082226753
4100,0.8722550868988037,0.3145693838596344,0.05576856806874275
4200,0.8119763731956482,0.32423508167266846,0.04877413064241409
4300,0.8979415893554688,0.2784064710140228,0.061953507363796234
4400,0.8470279574394226,0.3416396975517273,0.05053882300853729
4500,0.8344992399215698,0.3450234830379486,0.04894758015871048
4600,0.7557664513587952,0.28932368755340576,0.04664427787065506
4700,0.6952091455459595,0.32554498314857483,0.03696642071008682
4800,0.746529221534729,0.372879296541214,0.03736499696969986
4900,0.8062803149223328,0.38122493028640747,0.04250553995370865
5000,0.6827263832092285,0.3259359300136566,0.03567904606461525
5100,0.7690404057502747,0.42354831099510193,0.03454921022057533
5200,0.8623364567756653,0.4873882234096527,0.03749482333660126
5300,0.6250728368759155,0.32260197401046753,0.03024708479642868
5400,0.7672888040542603,0.37894129753112793,0.038834746927022934
5500,0.6307353973388672,0.2886432707309723,0.03420921415090561
5600,0.5979076623916626,0.30706799030303955,0.029083967208862305
5700,0.6056917309761047,0.28136324882507324,0.03243284672498703
5800,0.736346960067749,0.4663303792476654,0.02700166031718254
5900,0.6776525974273682,0.34457331895828247,0.03330792859196663
6000,0.5151247978210449,0.17129823565483093,0.0343826562166214
6100,0.46691879630088806,0.2592483162879944,0.020767048001289368
6200,0.5336244106292725,0.22005906701087952,0.031356532126665115
6300,0.5369333624839783,0.2745901346206665,0.026234321296215057
6400,0.48518455028533936,0.3096539378166199,0.017553061246871948
6500,0.6310639381408691,0.376577764749527,0.025448612868785858
6600,0.42670536041259766,0.16813987493515015,0.02585654705762863
6700,0.5196071863174438,0.2820104658603668,0.02375967428088188
6800,0.48223257064819336,0.31099337339401245,0.01712391898036003
6900,0.47537660598754883,0.30611178278923035,0.016926482319831848
7000,0.3849337100982666,0.19346436858177185,0.019146934151649475
7100,0.3894764184951782,0.1863420307636261,0.020313438028097153
7200,0.5533940196037292,0.40833139419555664,0.014506261795759201
7300,0.4623861312866211,0.2882574498653412,0.01741286739706993
7400,0.6400811672210693,0.4950350821018219,0.014504607766866684
7500,0.5944981575012207,0.44481217861175537,0.014968600124120712
7600,0.39864638447761536,0.2632410228252411,0.013540536165237427
7700,0.536400318145752,0.40019723773002625,0.01362030953168869
7800,0.40004074573516846,0.2749851644039154,0.012505557388067245
7900,0.47133851051330566,0.27478113770484924,0.019655738025903702
8000,0.5276187658309937,0.3755633533000946,0.015205543488264084
8100,0.5220404863357544,0.3876553177833557,0.013438519090414047
8200,0.4489603340625763,0.2678026258945465,0.01811577007174492
8300,0.4777083992958069,0.3661266565322876,0.011158175766468048
8400,0.3847796320915222,0.21179918944835663,0.01729804277420044
8500,0.44042909145355225,0.3301512897014618,0.011027779430150986
8600,0.5008211135864258,0.3926559090614319,0.010816521942615509
8700,0.41065600514411926,0.27281293272972107,0.013784307986497879
8800,0.5666894316673279,0.44863489270210266,0.011805452406406403
8900,0.5580141544342041,0.45652008056640625,0.010149404406547546
9000,0.41824454069137573,0.29374390840530396,0.012450061738491058
9100,0.3296077847480774,0.2037537842988968,0.012585397809743881
9200,0.42171695828437805,0.3152930438518524,0.010642390698194504
9300,0.45871955156326294,0.3431777358055115,0.011554181575775146
9400,0.47959235310554504,0.3636195659637451,0.011597279459238052
9500,0.364825963973999,0.28888148069381714,0.007594447582960129
9600,0.43444475531578064,0.34080034494400024,0.00936444103717804
9700,0.5382972955703735,0.44520044326782227,0.009309686720371246
9800,0.39076679944992065,0.29651716351509094,0.009424962103366852
9900,0.5252768993377686,0.42992037534713745,0.009535655379295349
10000,0.41691526770591736,0.32692939043045044,0.008998587727546692
10100,0.31634166836738586,0.22392649948596954,0.009241517633199692
10200,0.4501085579395294,0.3688364624977112,0.008127208799123764
10300,0.3310825824737549,0.23976662755012512,0.009131595492362976
10400,0.40374481678009033,0.33756697177886963,0.00661778450012207
10500,0.33796221017837524,0.25140297412872314,0.00865592435002327
10600,0.3662284314632416,0.2989872395992279,0.006724119186401367
10700,0.4363766312599182,0.3743257224559784,0.0062050893902778625
10800,0.33572840690612793,0.2454296350479126,0.009029876440763474
10900,0.4114959239959717,0.33594268560409546,0.007555324584245682
11000,0.28288188576698303,0.21011196076869965,0.007276993244886398
11100,0.3710089325904846,0.30433064699172974,0.006667830049991608
11200,0.49058258533477783,0.4273388683795929,0.006324373185634613
11300,0.3875369131565094,0.31659021973609924,0.007094670087099075
11400,0.4903014600276947,0.39521655440330505,0.009508490562438965
